passer_name,receiver_name,team_name,duo_passes,duo_mean_tiv,duo_total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,passer_n_passes,passer_mean_tiv,passer_total_tiv,delta_tiv,duo_label,is_stable_duo
Firas Al-Buraikan,Sami Al-Najei,Saudi Arabia,1,1.7352786400319342,1.7352786400319342,8.0,15.710458059663454,3.321247727272725,0.0,0.0,0.0,0.0,33,-0.04253236189921063,-1.4035679426739507,1.7778110019311448,Firas Al-Buraikan → Sami Al-Najei,False
Rasmus Kristensen,Martin Braithwaite,Denmark,1,1.7154659750641017,1.7154659750641017,8.0,2.6827018712520534,105.44013359090906,1.0,1.0,0.0,0.0,85,0.19275714710815647,16.3843575041933,1.5227088279559453,Rasmus Kristensen → Martin Braithwaite,False
Steven Berghuis,Steven Bergwijn,Netherlands,2,1.1085890465986266,2.217178093197253,5.0,0.8385381731263948,162.4699968863638,0.5,0.0,0.0,0.0,67,-0.405328659913314,-27.157020214192038,1.5139177065119407,Steven Berghuis → Steven Bergwijn,False
Dušan Vlahović,Aleksandar Mitrovic,Serbia,1,1.0054071135551852,1.0054071135551852,2.0,2.33194543442006,103.8868311363639,0.0,0.0,0.0,0.0,6,-0.4861961299950885,-2.917176779970531,1.4916032435502737,Dušan Vlahović → Aleksandar Mitrovic,False
Mario Pasalic,Andrej Kramaric,Croatia,1,1.104281360297172,1.104281360297172,6.0,1.0591820548389328,66.00219368181807,0.0,0.0,0.0,0.0,64,-0.32258280473114215,-20.645299502793097,1.426864165028314,Mario Pasalic → Andrej Kramaric,False
Takehiro Tomiyasu,Daizen Maeda,Japan,1,1.1986216316309048,1.1986216316309048,9.0,3.6796730531091737,2.9969676818178925,0.0,0.0,0.0,0.0,65,-0.15164797685340126,-9.85711849547108,1.350269608484306,Takehiro Tomiyasu → Daizen Maeda,False
Edimilson Fernandes,Yann Sommer,Switzerland,1,0.8412580115595355,0.8412580115595355,0.0,6.793022407968531,20.02997181818177,1.0,0.0,0.0,0.0,46,-0.5031564624074686,-23.145197270743555,1.344414473967004,Edimilson Fernandes → Yann Sommer,False
Dani Alves,Gabriel Jesus,Brazil,1,1.1824919900954227,1.1824919900954227,4.0,2.9462808306198647,59.3072404545451,0.0,0.0,0.0,0.0,70,-0.13989406960117895,-9.792584872082527,1.3223860596966017,Dani Alves → Gabriel Jesus,False
Leander Dendoncker,Dries Mertens,Belgium,1,1.3534214633646315,1.3534214633646315,5.0,2.8061641383669658,84.51065845454563,0.0,0.0,1.0,0.0,100,0.059990026402518506,5.999002640251851,1.293431436962113,Leander Dendoncker → Dries Mertens,False
Alex Sandro,Alisson,Brazil,1,1.426711181898228,1.426711181898228,0.0,11.578415598977696,96.93186840909092,0.0,1.0,0.0,0.0,93,0.14661366306308954,13.635070664867328,1.2800975188351384,Alex Sandro → Alisson,False
Chris Mepham,Daniel James,Wales,1,1.3230888738847115,1.3230888738847115,7.0,0.7564291415120513,152.28977613636354,0.0,0.0,0.0,0.0,127,0.046911463124008165,5.957755816749037,1.2761774107607033,Chris Mepham → Daniel James,False
Marquinhos,Richarlison,Brazil,1,1.3433874445342595,1.3433874445342595,7.0,1.4513716117706057,80.15005627272772,1.0,0.0,0.0,0.0,302,0.08068712828211361,24.367512741198308,1.262700316252146,Marquinhos → Richarlison,False
Juan Pablo Vargas,Yeltsin Tejeda,Costa Rica,1,1.5951666671164295,1.5951666671164295,6.0,3.5799255466019666,101.3617338181815,0.0,0.0,0.0,0.0,14,0.3324808692639753,4.654732169695654,1.2626857978524542,Juan Pablo Vargas → Yeltsin Tejeda,False
