passer_name,team_name,n_passes,mean_tiv,total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,circulatory,destabilising,line_breaking,space_expanding,dominant_pass_type,player_label
John Stones,England,353,0.20972899453279986,74.03433507007836,1.575070821529745,1.5627110914113382,26.598261127221228,0.059490084985835696,0.0028328611898017,0.014164305949008499,0.0056657223796034,0.3059490084985836,0.28328611898017,0.2719546742209632,0.1388101983002833,circulatory,John Stones (England)
Nicolás Otamendi,Argentina,432,0.1252007749974162,54.08673479888379,1.5231481481481481,1.3629151250505425,23.46851093392254,0.06481481481481481,0.016203703703703703,0.004629629629629629,0.0023148148148148147,0.3680555555555556,0.2847222222222222,0.24305555555555555,0.10416666666666667,circulatory,Nicolás Otamendi (Argentina)
Niklas Süle,Germany,182,0.2971636253713648,54.0837798175884,1.7857142857142858,1.7740163600105139,35.11511692457544,0.15934065934065933,0.06043956043956044,0.038461538461538464,0.0,0.21428571428571427,0.31868131868131866,0.33516483516483514,0.13186813186813187,line_breaking,Niklas Süle (Germany)
Ruben Dias,Portugal,213,0.24919930110066665,53.079451134441996,1.3474178403755868,1.9169921678901125,25.705663421254805,0.13145539906103287,0.018779342723004695,0.018779342723004695,0.004694835680751174,0.2676056338028169,0.29577464788732394,0.2300469483568075,0.20657276995305165,destabilising,Ruben Dias (Portugal)
Sergiño Dest,United States,116,0.4137714178271066,47.99748446794436,1.896551724137931,1.2347329301921206,37.95527670963948,0.08620689655172414,0.02586206896551724,0.017241379310344827,0.008620689655172414,0.07758620689655173,0.3706896551724138,0.47413793103448276,0.07758620689655173,line_breaking,Sergiño Dest (United States)
Pepe,Portugal,211,0.22695039533368758,47.88653341540808,1.5592417061611374,1.6933345510207298,24.630812859543305,0.07109004739336493,0.037914691943127965,0.02843601895734597,0.004739336492890996,0.2796208530805687,0.2843601895734597,0.3033175355450237,0.13270142180094788,line_breaking,Pepe (Portugal)
Thiago Silva,Brazil,267,0.17891580784729852,47.770520695228704,1.7677902621722847,1.4304914559999364,27.65808225995915,0.0898876404494382,0.011235955056179775,0.0149812734082397,0.003745318352059925,0.31086142322097376,0.32209737827715357,0.26217228464419473,0.10486891385767791,destabilising,Thiago Silva (Brazil)
Cristian Romero,Argentina,285,0.16364530347835088,46.63891149133,1.631578947368421,1.6672875460496808,22.92718417352474,0.08421052631578947,0.014035087719298246,0.014035087719298246,0.0035087719298245615,0.37543859649122807,0.2807017543859649,0.21754385964912282,0.12631578947368421,circulatory,Cristian Romero (Argentina)
Josko Gvardiol,Croatia,423,0.10463673452575108,44.261338704392706,0.8723404255319149,1.7648441681172593,25.045895681710725,0.08983451536643026,0.009456264775413711,0.01182033096926714,0.002364066193853428,0.3120567375886525,0.26713947990543735,0.25059101654846333,0.1702127659574468,circulatory,Josko Gvardiol (Croatia)
Ilkay Gündogan,Germany,119,0.37114173294832176,44.16586622085029,1.0336134453781514,1.6354998839465764,33.00885322727275,0.17647058823529413,0.05042016806722689,0.11764705882352941,0.008403361344537815,0.07563025210084033,0.3865546218487395,0.3865546218487395,0.15126050420168066,destabilising,Ilkay Gündogan (Germany)
Eder Militao,Brazil,200,0.21532000585498667,43.06400117099734,1.685,1.668261048441457,29.16523148227273,0.08,0.025,0.04,0.0,0.325,0.25,0.305,0.12,circulatory,Eder Militao (Brazil)
Nathan Aké,Netherlands,257,0.16135909564312437,41.46928758028296,1.45136186770428,1.6215928812261886,25.650036838344516,0.04669260700389105,0.01556420233463035,0.011673151750972763,0.0038910505836575876,0.3735408560311284,0.245136186770428,0.23735408560311283,0.14396887159533073,circulatory,Nathan Aké (Netherlands)
Raphael Varane,France,210,0.19502743060311006,40.955760426653114,1.2380952380952381,1.5642817209033415,26.028985601948044,0.0761904761904762,0.009523809523809525,0.009523809523809525,0.0,0.24761904761904763,0.3476190476190476,0.26666666666666666,0.1380952380952381,destabilising,Raphael Varane (France)
Toby Alderweireld,Belgium,220,0.17828821976823842,39.22340834901245,1.018181818181818,1.6486257573657765,27.322340919628104,0.02727272727272727,0.01818181818181818,0.013636363636363636,0.004545454545454545,0.24545454545454545,0.41363636363636364,0.17727272727272728,0.16363636363636364,destabilising,Toby Alderweireld (Belgium)
Rúben Neves,Portugal,171,0.22766595987775076,38.93087913909538,-0.005847953216374269,1.759967485334757,33.268363059808586,0.11695906432748537,0.029239766081871343,0.017543859649122806,0.0,0.14619883040935672,0.43859649122807015,0.23976608187134502,0.17543859649122806,destabilising,Rúben Neves (Portugal)
Kye Rowles,Australia,150,0.2496768692288487,37.451530384327306,1.3933333333333333,2.2447355064485714,26.414420815757573,0.06666666666666667,0.02666666666666667,0.013333333333333334,0.006666666666666667,0.30666666666666664,0.2866666666666667,0.22,0.18666666666666668,circulatory,Kye Rowles (Australia)
Dejan Lovren,Croatia,358,0.10288446587168727,36.832638782064045,1.2905027932960893,1.766410813858288,22.259424648298634,0.08379888268156424,0.025139664804469275,0.002793296089385475,0.0,0.34916201117318435,0.2681564245810056,0.19832402234636873,0.18435754189944134,circulatory,Dejan Lovren (Croatia)
Young-gwon Kim,South Korea,154,0.2337518508063978,35.99778502418526,1.896103896103896,1.8830680817568664,23.77103089846517,0.2077922077922078,0.06493506493506493,0.025974025974025976,0.0,0.2922077922077922,0.2532467532467532,0.3181818181818182,0.13636363636363635,line_breaking,Young-gwon Kim (South Korea)
Nico Elvedi,Switzerland,117,0.3055531688691486,35.74972075769038,1.4017094017094016,2.641997322818873,25.861242230380743,0.10256410256410256,0.008547008547008548,0.0,0.0,0.23076923076923078,0.24786324786324787,0.19658119658119658,0.3247863247863248,space_expanding,Nico Elvedi (Switzerland)
Achraf Hakimi,Morocco,223,0.1537522419488065,34.28674995458385,1.6995515695067265,1.3403721814834417,24.974724551977168,0.08968609865470852,0.017937219730941704,0.04484304932735426,0.004484304932735426,0.23766816143497757,0.24663677130044842,0.3632286995515695,0.15246636771300448,line_breaking,Achraf Hakimi (Morocco)
Antonio Rüdiger,Germany,197,0.1675821158195027,33.01367681644203,0.49238578680203043,3.7851600497762976,21.87801123719428,0.14213197969543148,0.0,0.02030456852791878,0.005076142131979695,0.25380710659898476,0.37055837563451777,0.1319796954314721,0.2436548223350254,destabilising,Antonio Rüdiger (Germany)
Harry Maguire,England,308,0.10519238632844453,32.399254989160916,1.0389610389610389,1.4466253855309814,24.607674410123966,0.07467532467532467,0.012987012987012988,0.016233766233766232,0.00974025974025974,0.32142857142857145,0.33116883116883117,0.22402597402597402,0.12337662337662338,destabilising,Harry Maguire (England)
Tim Ream,United States,227,0.13806702292147838,31.34121420317559,1.4537444933920705,1.1680101023507188,24.120403013416116,0.11013215859030837,0.05286343612334802,0.013215859030837005,0.0,0.31718061674008813,0.36123348017621143,0.2511013215859031,0.07048458149779736,destabilising,Tim Ream (United States)
César Azpilicueta,Spain,147,0.21168239993336066,31.117312790204018,1.5850340136054422,1.2423459363039306,24.99455077025358,0.11564625850340136,0.047619047619047616,0.02040816326530612,0.0,0.22448979591836735,0.40816326530612246,0.2789115646258503,0.08843537414965986,destabilising,César Azpilicueta (Spain)
Nayef Aguerd,Morocco,117,0.2580617257453936,30.19322191221105,1.2307692307692308,2.1648013298270747,24.65548601515152,0.10256410256410256,0.042735042735042736,0.017094017094017096,0.008547008547008548,0.23931623931623933,0.26495726495726496,0.23931623931623933,0.2564102564102564,destabilising,Nayef Aguerd (Morocco)
