team_name,style_x,style_y,n_passes,mean_tiv,total_tiv,shot_prob,box_entry_prob,goal_prob,circulatory,destabilising,line_breaking,space_expanding,dominant_pass_type,team_label
Germany,-0.13640032284100084,0.17029862792574654,1239,0.09606461637856202,119.02405969303834,0.08716707021791767,0.02824858757062147,0.009685230024213076,0.2598870056497175,0.34382566585956414,0.22276029055690072,0.1735270379338176,destabilising,Germany
Portugal,-0.10959622443628736,0.1709491347666492,1907,0.06117687072840632,116.66429247907085,0.04509701101206083,0.024121657052962767,0.0057682223387519665,0.2669113791295228,0.356581017304667,0.19087572102779235,0.18563188253801782,destabilising,Portugal
United States,-0.0692704495210022,0.22844509948415623,1357,0.07318745338380976,99.31537424182984,0.040530582166543844,0.029476787030213707,0.007369196757553427,0.2800294767870302,0.37067059690493737,0.20707442888725128,0.14222549742078114,destabilising,United States
Switzerland,-0.032773109243697474,0.146218487394958,1190,0.03918061774573453,46.624935117424094,0.02773109243697479,0.015966386554621848,0.0033613445378151263,0.3277310924369748,0.31176470588235294,0.1949579831932773,0.16554621848739495,circulatory,Switzerland
Costa Rica,-0.10067114093959734,0.23993288590604028,596,0.06392117729256641,38.09702166636958,0.013422818791946308,0.003355704697986577,0.0016778523489932886,0.2600671140939597,0.37919463087248323,0.2214765100671141,0.13926174496644295,destabilising,Costa Rica
Serbia,-0.14267676767676768,0.13383838383838384,792,0.047023467695444965,37.24258641479241,0.04419191919191919,0.015151515151515152,0.003787878787878788,0.2702020202020202,0.31691919191919193,0.2297979797979798,0.1830808080808081,destabilising,Serbia
Cameroon,-0.14392803598200898,0.1004497751124438,667,0.05582103974483114,37.23263350980237,0.044977511244377814,0.053973013493253376,0.008995502248875561,0.27586206896551724,0.30434782608695654,0.2158920539730135,0.20389805097451275,destabilising,Cameroon
South Korea,-0.044554455445544594,0.1377887788778878,1212,0.025458926513609724,30.856218934494986,0.0462046204620462,0.034653465346534656,0.0033003300330033004,0.31765676567656764,0.3201320132013201,0.17986798679867988,0.18234323432343233,destabilising,South Korea
Australia,0.05389908256880738,0.17775229357798164,872,0.03114828666430578,27.16130597127464,0.03211009174311927,0.017201834862385322,0.006880733944954129,0.3669724770642202,0.31995412844036697,0.17087155963302753,0.14220183486238533,circulatory,Australia
Belgium,0.004914004914004955,0.1941031941031941,1221,0.021230311186410385,25.92220995860708,0.029484029484029485,0.031122031122031123,0.001638001638001638,0.3284193284193284,0.34807534807534807,0.16953316953316952,0.15397215397215397,destabilising,Belgium
Brazil,0.01938923897237027,0.19631604459524962,2063,0.009367289726811188,19.32471870641148,0.057682985942801746,0.029083858458555503,0.005332040717401842,0.3456131846825012,0.3281628696073679,0.1943771206980126,0.13184682501211828,circulatory,Brazil
Netherlands,0.04780433574207893,0.141745414118955,1799,0.00636765464587809,11.455410707934684,0.03168426903835464,0.03668704836020011,0.010005558643690939,0.37687604224569204,0.29405225125069484,0.17676486937187327,0.15230683713173984,circulatory,Netherlands
England,-0.02859821847163624,0.1303328645100797,2133,0.004986322435442899,10.635825754799704,0.031411157993436474,0.02203469292076887,0.008438818565400843,0.3263009845288326,0.31879981247069855,0.16643225503984999,0.18846694796061886,circulatory,England
Mexico,0.03965303593556385,0.14250309789343246,807,0.00537166293582032,4.334931989206998,0.042131350681536554,0.01982651796778191,0.0024783147459727386,0.36059479553903345,0.3184634448574969,0.1449814126394052,0.17596034696406443,circulatory,Mexico
Tunisia,0.037921348314606806,0.13764044943820228,712,0.002666098555269913,1.8982621713521781,0.047752808988764044,0.026685393258426966,0.004213483146067416,0.3609550561797753,0.3160112359550562,0.1446629213483146,0.17837078651685392,circulatory,Tunisia
Senegal,-0.09637305699481868,0.10984455958549225,965,0.0015324679390082121,1.4788315611429248,0.05595854922279793,0.008290155440414507,0.004145077720207254,0.30569948186528495,0.2922279792746114,0.21968911917098446,0.18238341968911917,circulatory,Senegal
Wales,0.056100981767180924,0.15287517531556805,713,-0.0033573819507196267,-2.393813330863094,0.037868162692847124,0.04488078541374474,0.0,0.37868162692847124,0.29873772791023845,0.1767180925666199,0.1458625525946704,circulatory,Wales
Canada,0.06350914962325077,0.12701829924650163,929,-0.006235807033844679,-5.793064734441707,0.04198062432723358,0.023681377825618945,0.002152852529601722,0.395048439181916,0.27341227125941875,0.18514531754574812,0.14639397201291712,circulatory,Canada
Morocco,-0.07738452309538096,0.12477504499100178,1667,-0.0046266034693266565,-7.712547983367536,0.041991601679664065,0.029994001199760048,0.002999400119976005,0.3065386922615477,0.3095380923815237,0.19916016796640673,0.1847630473905219,destabilising,Morocco
Saudi Arabia,-0.0018050541516245744,0.16425992779783394,554,-0.0143312671738711,-7.93952201432459,0.052346570397111915,0.019855595667870037,0.010830324909747292,0.35018050541516244,0.29783393501805056,0.2184115523465704,0.13357400722021662,circulatory,Saudi Arabia
Poland,-0.004813477737665439,0.17087845968712398,831,-0.014688231223765958,-12.205920146949511,0.044524669073405534,0.024067388688327317,0.0024067388688327317,0.33212996389891697,0.3309265944645006,0.17689530685920576,0.16004813477737664,circulatory,Poland
Croatia,-0.023181169757489295,0.13373751783166904,2804,-0.004608488485790842,-12.92220171415752,0.03316690442225392,0.012838801711840228,0.005706134094151213,0.33202567760342366,0.3127674750356633,0.17617689015691868,0.17902995720399428,circulatory,Croatia
Ghana,0.030206677265500748,0.1414944356120827,629,-0.04406394467552738,-27.71622120090672,0.046104928457869634,0.01589825119236884,0.00794912559618442,0.3640699523052464,0.302066772655008,0.17329093799682035,0.16057233704292528,circulatory,Ghana
Denmark,0.06159999999999999,0.1352,1250,-0.02263860321740842,-28.298254021760528,0.0344,0.02,0.0008,0.3848,0.292,0.1664,0.1568,circulatory,Denmark
Argentina,0.053775322283609595,0.16832412523020257,2715,-0.011902437932812433,-32.315118987585755,0.04751381215469613,0.013996316758747698,0.008103130755064457,0.3705340699815838,0.312707182320442,0.1723756906077348,0.1443830570902394,circulatory,Argentina
Ecuador,0.140607424071991,0.15973003374578176,889,-0.039509287403452435,-35.12375650166921,0.025871766029246346,0.03487064116985377,0.0022497187851518562,0.42857142857142855,0.28346456692913385,0.16422947131608548,0.12373453318335208,circulatory,Ecuador
